col1;col2;col3;col4;col5;col6
0.01;0.999984;0.999934;0.99995;58.3277;0.011532
0.02;0.999934;0.999734;0.9998;29.1689;0.02306
0.03;0.999852;0.999402;0.99955;19.4516;0.03458
0.04;0.999736;0.998937;0.9992;14.5947;0.046087
0.05;0.999588;0.998339;0.998751;11.6819;0.057579
0.06;0.999406;0.99761;0.998202;9.74111;0.06905
0.07;0.999192;0.996748;0.997554;8.35585;0.080498
0.08;0.998945;0.995755;0.996807;7.31775;0.091917
0.09;0.998665;0.994632;0.995961;6.5111;0.103305
0.1;0.998353;0.993378;0.995017;5.86647;0.114656
0.11;0.998007;0.991994;0.993974;5.33967;0.125968
0.12;0.99763;0.990481;0.992834;4.90125;0.137236
0.13;0.997219;0.98884;0.991597;4.53081;0.148457
0.14;0.996776;0.987071;0.990264;4.21378;0.159626
0.15;0.996301;0.985176;0.988834;3.93949;0.17074
0.16;0.995794;0.983155;0.987308;3.69992;0.181796
0.17;0.995254;0.98101;0.985688;3.48894;0.192788
0.18;0.994682;0.978741;0.983973;3.30181;0.203715
0.19;0.994079;0.976349;0.982165;3.13474;0.214572
0.2;0.993443;0.973836;0.980263;2.98473;0.225356
0.21;0.992776;0.971202;0.978269;2.84935;0.236064
0.22;0.992077;0.96845;0.976184;2.7266;0.246691
0.23;0.991347;0.96558;0.974009;2.61484;0.257235
0.24;0.990585;0.962594;0.971743;2.5127;0.267691
0.25;0.989793;0.959494;0.969388;2.42902;0.278058
0.26;0.988969;0.956279;0.966946;2.33283;0.288332
0.27;0.988114;0.952953;0.964416;2.25329;0.298509
0.28;0.987229;0.949517;0.9618;2.1797;0.308587
0.29;0.986313;0.945972;0.959099;2.11145;0.318553
0.3;0.985367;0.94232;0.956314;2.04799;0.328433
0.31;0.984391;0.938563;0.953445;1.98888;0.338195
0.32;0.983385;0.934702;0.950495;1.93369;0.347846
0.33;0.982349;0.93074;0.947464;1.88209;0.357384
0.34;0.981283;0.926677;0.944353;1.83375;0.366806
0.35;0.980188;0.922516;0.941163;1.78839;0.376109
0.36;0.979064;0.918259;0.937895;1.74577;0.38529
0.37;0.97791;0.913908;0.934552;1.70567;0.394349
0.38;0.976728;0.909464;0.931133;1.66789;0.403281
0.39;0.975518;0.90493;0.92764;1.63225;0.412086
0.4;0.974279;0.900307;0.924075;1.5986;0.42076
0.41;0.973012;0.895597;0.920438;1.56679;0.429302
0.42;0.971717;0.890804;0.916731;1.5367;0.437711
0.43;0.970395;0.885928;0.912956;1.50819;0.445983
0.44;0.969045;0.880971;0.909113;1.48118;0.454117
0.45;0.967668;0.875936;0.905244;1.45555;0.462113
0.46;0.966264;0.870826;0.90123;1.43123;0.469967
0.47;0.964833;0.865641;0.897193;1.40812;0.477678
0.48;0.963376;0.860385;0.893093;1.38616;0.485246
0.49;0.961893;0.855059;0.888933;1.36528;0.492668
0.5;0.960384;0.849665;0.884714;1.34541;0.499944
0.51;0.95885;0.844207;0.880437;1.32649;0.507072
0.52;0.95729;0.838685;0.876104;1.30849;0.514051
0.53;0.955705;0.833102;0.871715;1.29133;0.520881
0.54;0.954095;0.827461;0.867273;1.27498;0.527559
0.55;0.95246;0.821763;0.862779;1.2594;0.534087
0.56;0.950802;0.816011;0.858234;1.24454;0.540461
0.57;0.949119;0.810206;0.85364;1.23038;0.546684
0.58;0.947413;0.804352;0.848999;1.21687;0.552752
0.59;0.945683;0.79845;0.84431;1.20399;0.558667
0.6;0.943931;0.792503;0.839577;1.1917;0.564427
0.61;0.942155;0.786512;0.834801;1.17998;0.570033
0.62;0.940357;0.78048;0.829982;1.16881;0.575483
0.63;0.938537;0.774409;0.825123;1.15815;0.580779
0.64;0.936694;0.7683;0.820225;1.14799;0.585919
0.65;0.934831;0.762158;0.81529;1.1333;0.590905
0.66;0.932945;0.755982;0.810318;1.12907;0.595735
0.67;0.931039;0.749776;0.805311;1.12028;0.600411
0.68;0.929112;0.743542;0.800271;1.11191;0.604931
0.69;0.927165;0.737281;0.795199;1.10394;0.609298
0.7;0.925198;0.730996;0.790097;1.09636;0.61351
0.71;0.923211;0.724689;0.784966;1.08916;0.617569
0.72;0.921204;0.718361;0.779807;1.08231;0.621475
0.73;0.919178;0.712016;0.774622;1.07581;0.625228
0.74;0.917133;0.705654;0.769412;1.06965;0.628829
0.75;0.91507;0.699277;0.764179;1.06381;0.63228
0.76;0.912989;0.692888;0.758923;1.05829;0.63558
0.77;0.910889;0.686489;0.753647;1.05307;0.63873
0.78;0.908772;0.680081;0.748352;1.04815;0.641732
0.79;0.906638;0.673667;0.743039;1.0435;0.644586
0.8;0.904486;0.667247;0.737708;1.03914;0.647294
0.81;0.902318;0.660824;0.732363;1.03504;0.6498.56
0.82;0.900134;0.6544;0.727004;1.03121;0.652273
0.83;0.897933;0.647977;O.72163;1.02762;0.652273
0.84;0.895717;0.641555;0.716248;1.02429;0.65668
0.85;0.893485;0.635137;0.710854;1.02119;0.658671
0.86;0.891239;0.628725;0.705451;1.01833;0.660523
0.87;0.888977;0.622319;0.70004;1.01569;0.662237
0.88;0.886701;0.615923;0.694623;1.01328;0.663813
0.89;0.884411;0.609536;0.6892;1.01108;0.665255
0.9;0.882106;0.603161;0.683773;1.0091;0.666563
0.91;0.879789;0.596799;0.678344;1.007324;0.667738
0.92;0.877458;0.590452;0.672912;1.00575;0.668783
0.93;0.875114;0.584121;0.66748;1.004376;0.669698
0.94;0.872757;0.577807;0.662048;1.003195;0.670486
0.95;0.870388;0.571512;0.656617;1.002206;0.671148
0.96;0.868007;0.565237;0.651189;1.0014037;0.671686
0.97;0.865615;0.558984;0.645765;1;0.0007851
0.98;0.86321;0.552753;0.640345;1.000347;0.672395
0.99;0.860795;0.54654;0.634931;1.0000863;0.67257
1;0.858369;0.540364;0.629524;1;0.672628
1.01;0.855932;0.534208;0.624124;1.0000854;0.672571
1.02;0.853486;0.52808;0.618733;1.0003399;0.6724
1.03;0.851029;0.52198;0.613352;1.0007609;0.672117
1.04;0.848562;0.51591;0.607981;1.0013462;0.671724
1.05;0.846086;0.50987;0.602621;1.0020936;0.671223
1.06;0.843601;0.503861;0.597274;1.003001;0.670615
1.07;0.841108;0.497885;0.59194;1.004066;0.669904
1.08;0.838605;0.491942;0.586619;1.005288;0.669091
1.09;0.836095;0.486034;0.581314;1.006663;0.668176
1.1;0.833576;0.48016;0.576024;1.008192;0.667163
1.11;0.83105;0.474323;0.570751;1.009872;0.666053
1.12;0.828517;0.468522;0.565494;1.0117;0.664849
1.13;0.825976;0.462758;0.560256;1.01368;0.663552
1.14;0.823429;0.457033;0.555036;1.0158;0.662163
1.15;0.820875;0.451347;0.549836;1.01808;0.660686
1.16;0.818315;0.4457;0.544656;1.02049;0.659122
1.17;0.815748;0.440093;0.539496;1.02305;0.657473
1.18;0.813176;0.434527;0.534358;1.02575;0.655741
1.19;0.810598;0.429002;0.529241;1.0286;0.653927
1.2;0.808016;0.423519;0.524148;1.03158;0.652034
1.21;0.805428;0.418079;0.519077;1.03471;0.650064
1.22;0.802835;0.412682;0.51403;1.03798;0.648019
1.23;0.800238;0.407327;0.509008;1.04138;0.6459
1.24;0.797636;0.402017;0.50401;1.04493;0.643709
1.25;0.795031;0.396751;0.499038;1;0.04861
1.26;0.792422;0.391529;0.494092;1.05243;0.63912
1.27;0.789809;0.386352;0.489172;1.05639;0.636725
1.28;0.787193;0.381221;0.484278;1.06048;0.634266
1.29;0.784574;0.376135;0.479413;1.06471;0.631745
1.3;0.781953;0.371095;0.474574;1.06908;0.629164
1.31;0.779328;0.3661;0.469764;1.07359;0.626523
1.32;0.776701;0.361153;0.464983;1.07823;0.623826
1.33;0.774073;0.356251;0.46023;1.08301;0.621074
1.34;0.771442;0.351397;0.455506;1.08792;0.618268
1.35;0.768809;0.346589;0.450813;1.09298;0.615411
1.36;0.766175;0.341828;0.446149;1.09816;0.612503
1.37;0.76354;0.337114;0.441515;1.10349;0.609548
1.38;0.760904;0.332448;0.436912;1.10895;0.606546
1.39;0.758267;0.327829;0.432339;1.11455;0.603499
1.4;0.755629;0.323257;0.427798;1.12028;0.600409
1.41;0.752991;0.318732;0.423288;1.12616;0.597278
1.42;0.750353;0.314255;0.41881;1.13217;0.594106
1.43;0.747715;0.309826;0.414364;1.13832;0.590896
1.44;0.745077;0.305443;0.409949;1.14461;0.58765
1.45;0.742439;0.301109;0.405567;1.15104;0.584368
1.46;0.739801;0.296821;0.401217;1.1576;0.581053
1.47;0.737165;0.292581;0.3969;1.16431;0.577705
1.48;0.734529;0.288387;0.392615;1.17116;0.574327
1.49;0.731895;0.284241;0.388364;1.17815;0.57092
1.5;0.729262;0.280142;0.384145;1.18528;0.567484
1.5;0.729262;0.280142;0.384145;1.18528;0.567484
1.51;0.72663;0.27609;0.379959;1.19256;0.564023
1.52;0.724;0.272084;0.375807;1.19997;0.560536
1.53;0.721371;0.268125;0.371688;1.20754;0.557026
1.54;0.718745;0.264212;0.367602;1.21524;0.553493
1.55;0.716121;0.260346;0.36355;1.22309;0.54994
1.56;0.713499;0.256525;0.359532;1.23109;0.546367
1.57;0.710879;0.252751;0.355547;1.23924;0.542775
1.58;0.708262;0.249022;0.351595;1.24753;0.539167
1.59;0.705648;0.245338;0.347678;1.25598;0.535542
1.6;0.703037;0.2417;0.343794;1.26457;0.531903
1.61;0.700429;0.238106;0.339943;1.27331;0.528251
1.62;0.697824;0.234557;0.336127;1.28221;0.524586
